illness
nausea
vomit
vomitting
diarrhea
cramps
cramp
fever
ache
ache
fatigue
pathogen
virus
bacteria
parasite
raw
pest
mice
roaches
roach
spider
rat
rodent
mosquito
vermin
humid
smelly
dirty
filthy
contaminate
stench
gross
septic
pain
awful
rotten
bathroom
toilet
puke
shit
bitch
suck
mold
poison
terrible
horrible
stomach
horrendous
defecate
health
cockroaches
inhuman
inedible
disgusting
hair
insect
moth
sick
allergen
hazard
hygiene
ill-scented
